pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,knee_angle_r_beta,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,knee_angle_l_beta,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation,arm_flex_r,arm_add_r,arm_rot_r,elbow_flex_r,pro_sup_r,wrist_flex_r,wrist_dev_r,arm_flex_l,arm_add_l,arm_rot_l,elbow_flex_l,pro_sup_l,wrist_flex_l,wrist_dev_l
-13.4879080475,-2.005965215,-0.26969881625,1.31875132875,0.99070230875,-0.4970100925,29.55780645,3.86205877875,-3.948672695,2.69039600875,0.04695626875,-4.26368190625,0,0,-4.98556632375,-0.97020946125,-8.189910645,30.83082588375,0.5380994225,-18.60556698375,0,0,8.01877229375,2.95710265125,-12.42564562,-37.95181381,-8.5658735775,-9.14685419625,141.463208575,72.26099545875,0,0,-17.75836469375,-15.28147535,11.26745883375,144.33403791625,74.38691661125,0,0
-13.087038557,-2.1808945951375,-0.579335434300007,1.318457320125,0.988204080525,-0.4963235839,29.136924365625,4.2377765353625,-3.63052739881249,3.73790421781249,0.0652387349249999,-4.11607510913749,0,0,-4.22921893057499,-1.29844696628751,-8.37171196560003,34.1771998639751,0.596504666850001,-17.7583189177125,0,0,7.42209290783749,3.26981034857499,-11.8026676922875,-37.2408687034625,-9.21764232324999,-9.29312860810001,141.498367241063,72.1771441637875,0,0,-17.65416047115,-15.460231804825,11.4632947733125,143.854079811925,74.2966672208,0,0
-12.69468350765,-2.38833330667498,-0.872190481324984,1.31801254395,0.985465622475,-0.4957111311,28.806477805525,4.61566463002497,-3.46702417390001,5.09521129042487,0.0889282121249977,-3.87134143552502,0,0,-3.38433035075006,-1.67759410969997,-8.53896568755001,37.5911927912748,0.656090083724996,-16.8034041449501,0,0,6.81585790960006,3.61664410932497,-11.1702202195,-36.4990668025251,-9.90873863484993,-9.42561262342499,141.523909913375,72.076483786975,0,0,-17.591910161275,-15.548639462825,11.60765105975,143.2526291701,74.177000915325,0,0
-12.3076701552876,-2.63301106341242,-1.14730137627493,1.3173985496875,0.982462972537501,-0.4951811835,28.5730243912376,4.99767364009989,-3.47817460987501,6.80240792891205,0.118724415262492,-3.51734786928761,0,0,-2.44376043332521,-2.11265690106236,-8.68715085063744,41.0772222789492,0.716932775037486,-15.7365528205252,0,0,6.19316650596268,4.00275122122489,-10.5244133106127,-35.7184958568252,-10.6453732258373,-9.53838238645,141.537807248375,71.957461742375,0,0,-17.5718416215875,-15.5421420256875,11.7185093581625,142.519050905788,74.0271107119625,0,0
-11.7607216094501,-2.96111157289995,-1.49243697534996,1.3165846159,0.97932026465,-0.4945853253,28.2630442296001,5.46229869434994,-3.5527635084,8.93898583379972,0.156014733549995,-2.90287751365007,0,0,-1.59736023060011,-2.69137133054992,-9.00165861129996,44.5358262061995,0.777296801349992,-14.7951043757501,0,0,5.33637034575012,4.47844052319993,-9.74889709135011,-34.7136087628501,-11.3933334079499,-9.69628987754998,141.42142381635,71.8648125804,0,0,-17.5749722756,-15.42869669515,11.6561678135,141.75512772345,73.8810930382,0,0
-11.229185179,-3.29876312987498,-1.82476297887499,1.3156038503125,0.976008347875,-0.4940351355,28.0284931236875,5.90788749637498,-3.68920956706249,11.2916679945624,0.197076783687498,-2.12235633725004,0,0,-0.671442430562558,-3.30246993368747,-9.2967851906875,47.9941534452498,0.837655999124997,-13.8038772376876,0,0,4.47706931531255,4.95611910131248,-8.95127509506254,-33.6566851925001,-12.1639008538749,-9.80540953087501,141.250628967,71.7700013578125,0,0,-17.5986198704375,-15.25733976125,11.5643680101875,140.888756329125,73.7226656761875,0,0
-10.7449193571,-3.63645700484998,-2.115687244075,1.314398129125,0.972465777525,-0.4935814217,27.914231937175,6.30677699102498,-3.91221603264999,13.8931097996499,0.242480510174998,-1.11354702135002,0,0,0.397783201899935,-3.93047594854998,-9.52034500122503,51.4619636811998,0.898180706049997,-12.7057234426001,0,0,3.64945420467505,5.42059870277497,-8.15327202107503,-32.5449229659251,-12.9781902823249,-9.83802360502501,141.016008920425,71.661760845425,0,0,-17.653019401875,-15.005307994675,11.4375017159,139.869224612075,73.544768905875,0,0
-10.2578529721501,-3.96003401287497,-2.37900886132498,1.3129382027375,0.9688243479125,-0.4931841236625,27.827464667875,6.66188580741246,-4.08099046431251,16.6749743016248,0.291033204687496,0.158606062412415,0,0,1.54572738086242,-4.56758160992495,-9.68179919095,54.8373342740623,0.957092035424996,-11.5499621444001,0,0,2.78339263798759,5.85087471754996,-7.30609751611258,-31.3694759575626,-13.7739498602749,-9.87008384832498,140.689878390475,71.5607144647375,0,0,-17.7445593343625,-14.6376536476,11.1568509355875,138.763101003788,73.3613986668875,0,0
-9.75117977130004,-4.28140170319998,-2.63980735964999,1.3113522453,0.9652169161,-0.49278045275,27.7028869651,7.00578263649998,-4.21596780225001,19.4814615707498,0.340015647449996,1.51918363989986,0,0,2.71383707004989,-5.21889786419995,-9.83198951070001,58.1211308011997,1.01440509595,-10.4087935966501,0,0,1.87618409505008,6.26427512139997,-6.42314052510007,-30.1194901023501,-14.5605525181499,-9.86338587705002,140.32145501925,71.4478485492,0,0,-17.83428127185,-14.24886178575,10.8905376338,137.6544267005,73.16487158145,0,0
-9.33403837027504,-4.54564186863747,-2.84479172068749,1.309536375425,0.961520326225001,-0.4924536953625,27.64625744875,7.26129523239998,-4.31908849897499,22.2877238235871,0.388994163474993,3.11478664636223,0,0,4.07590233608725,-5.81369035678742,-9.88315208801253,61.328279937762,1.07038040867499,-9.14190972010022,0,0,1.0596239888376,6.59431271523746,-5.57264167272511,-28.7525344830752,-15.4012226125874,-9.66897447581257,139.8299477932,71.293555706425,0,0,-17.9372355477375,-13.7916794273626,10.5938910042751,136.41207840085,72.9259973614751,0,0
