Variable,Pearson r
Hip Angle,0.985705902852608
Knee Angle,0.9647673340325102
Ankle Angle,0.955146419796084
Hip Angle L,0.9934172424369356
Knee Angle L,0.9830079835044306
Ankle Angle L,0.9573211044390885
Pelvis Vertical,0.9634721384262799
Pelvis Tilt,0.948434905458196
Pelvis List,0.9532618082298817
Pelvis Rotation,0.9757437618032748
Lumbar Extension,0.9547508710628914
Lumbar Bending,0.8180223503598781
Lumbar Rotation,0.9755172227744565
Arm Flexion,0.9616731889767445
Arm Flexion L,0.9474554171367824
Elbow Flexion,0.8102032695290446
Elbow Flexion L,0.9060647528940673
GRF Y,0.9980547102138039
GRF X,0.9636784859892367
Hip Moment,0.9312219086361337
Knee Moment,0.9295721961905169
Ankle Moment,0.9275342423675098
Hip Moment L,0.9369241784228943
Knee Moment L,0.9740753348942235
Ankle Moment L,0.965077641493291
Lumbar Extension Moment,0.5558008116460892
Lumbar Bending Moment,-0.04197191297392267
Lumbar Rotation Moment,0.250102512189578
Arm Flexion Moment,0.8943732176329511
Arm Flexion L Moment,0.9272202051994958
Elbow Flexion Moment,0.9326065344653502
Elbow Flexion L Moment,0.934665137925506
