Variable,Pearson r
Hip Angle,0.9971175363016112
Knee Angle,0.9903151123061718
Ankle Angle,0.909359231445462
Hip Angle L,0.9943506385562564
Knee Angle L,0.9945019122986879
Ankle Angle L,0.9252582038505153
Pelvis Vertical,0.9694528429164838
Pelvis Tilt,0.9659991599141411
Pelvis List,0.9492680065780619
Pelvis Rotation,0.9817147927290775
Lumbar Extension,0.9981129235342269
Lumbar Bending,0.92927093614569
Lumbar Rotation,0.9871187290869098
Arm Flexion,0.9959041578780559
Arm Flexion L,0.9764809154172222
Elbow Flexion,0.9595640637551984
Elbow Flexion L,0.940775172324541
GRF Y,0.9997847776579034
GRF X,0.9854632952361222
Hip Moment,0.9595186096077709
Knee Moment,0.9627957408831831
Ankle Moment,0.9405809144611179
Lumbar Extension Moment,0.6360912209096634
Lumbar Bending Moment,0.1387244745340657
Lumbar Rotation Moment,0.06748528037525967
Arm Flexion Moment,0.8618368442976906
Arm Flexion L Moment,0.9019305691118101
Elbow Flexion Moment,0.9341320631870653
Elbow Flexion L Moment,0.9482384606055844
